Name,Rating
Dory Deli,4 star rating
Nice Guys,5 star rating
Laventina's Big Cheese Pizza,4 star rating
Lombardy's Market & Italian Deli,4.5 star rating
Sushi Shunka,4.5 star rating
Great Mex,4.5 star rating
Crystal Cove Shake Shack,4 star rating
HiroNori Craft Ramen,5 star rating
Newport Landing Restaurant,3.5 star rating
Tacos TJ Style,4 star rating
Wok-In,4.5 star rating
Balboa Bar-B-Que,4 star rating
The Alley,4 star rating
Santa Monica Seafood  -  Costa Mesa,4 star rating
Mr G's Bistro Hospitality,4 star rating
Galley Cafe,4 star rating
Ruby's Diner,3.5 star rating
3 Roots Mexican Cocina,4.5 star rating
Rendez Vous French Bakery and Cafe,4 star rating
Mama's On 39,4.5 star rating
El Cholo,4 star rating
Chixy Natural,4.5 star rating
The Vox Kitchen,4.5 star rating
Woody's Wharf,3.5 star rating
Qin West Noodle,4 star rating
Shanghai Pine Gardens Restaurant,3.5 star rating
Cruisers Pizza Bar Grill - Newport Beach,4 star rating
Billy's at the Beach,3.5 star rating
Carmelita's,4.5 star rating
My Galley,4 star rating
The Country Club,4 star rating
Hanano Ramen Tustin,5 star rating
Burger Lounge,4 star rating
A Market,4 star rating
21 Oceanfront,3.5 star rating
Rothschild's,4 star rating
The Bungalow Restaurant,3.5 star rating
Zinc Café,4 star rating
Pie Society,4 star rating
Kitakata Ramen Ban Nai - Costa Mesa,4.5 star rating
Five Crowns,4 star rating
Porch & Swing,4.5 star rating
The Cheesecake Factory,3 star rating
Craft House,4 star rating
Cappy's Cafe,4 star rating
Little Pan-Fried Bun,4.5 star rating
Avila's El Ranchito - Corona Del Mar,3.5 star rating
Sushi District,4.5 star rating
Sakae Sushi,4 star rating
"Sapphire, Cellar. Craft. Cook.",4.5 star rating
